time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-12-21T17:51:25.930Z,42.5809,-72.05,5,2.1,ml,,55,0.16,0.65,us,us2000iw0g,2019-02-23T20:21:02.040Z,"3 km NNE of Templeton, Massachusetts",earthquake,1.2,1.7,0.081,20,reviewed,us,us
2018-07-14T06:53:22.740Z,41.4726,-72.6485,1.06,1.1,ml,,131,0.451,0.54,us,us2000g5px,2018-10-02T16:40:43.040Z,"2 km ESE of Durham, Connecticut",earthquake,1.8,6.1,0.105,12,reviewed,us,us
2018-07-11T03:32:13.500Z,41.6945,-71.7539,5,1.3,ml,,147,0.364,0.28,us,us2000g5pa,2018-10-02T16:40:42.040Z,"0 km WNW of Greene, Rhode Island",earthquake,1.2,1.9,0.097,14,reviewed,us,us
2018-06-25T06:30:13.830Z,42.0958,-71.3677,5,1.4,ml,,105,0.29,0.36,us,us1000f1kv,2018-09-21T16:25:56.040Z,"2 km ENE of Franklin, Massachusetts",earthquake,1.3,1.9,0.097,14,reviewed,us,us
2018-06-13T06:56:38.050Z,41.4348,-71.1882,5,1.3,ml,,195,0.426,0.56,us,us1000etln,2018-09-07T17:47:07.040Z,"12 km ESE of Newport, Rhode Island",earthquake,2.1,2,0.115,10,reviewed,us,us
2018-04-07T03:25:18.550Z,41.6507,-71.3674,5,1.4,ml,,145,0.487,0.45,us,us2000dxbs,2018-06-30T01:11:32.040Z,"6 km SE of Warwick, Rhode Island",earthquake,1.4,1.9,0.091,16,reviewed,us,us
2018-02-27T11:06:22.770Z,41.3348,-73.0121,11.1,1.5,ml,,119,0.069,0.31,us,us2000dbkk,2018-05-27T01:06:03.040Z,"2 km S of Woodbridge, Connecticut",earthquake,0.9,3.7,0.097,14,reviewed,us,us
2017-12-17T06:37:32.630Z,41.6331,-72.7149,3.61,2,ml,,92,0.348,0.4,us,us2000c5ib,2018-03-14T00:58:20.040Z,"4 km E of Kensington, Connecticut",earthquake,0.9,7.8,0.077,22,reviewed,us,us
2017-11-28T01:48:25.050Z,42.4827,-71.538,6.74,1.6,ml,,112,0.028,0.38,us,us2000bv9j,2018-02-20T09:06:05.040Z,"1 km SW of Boxborough, Massachusetts",earthquake,1.5,2.4,0.085,18,reviewed,us,us
2017-10-01T03:09:53.900Z,41.6481,-70.9053,6.51,1.6,ml,,141,0.212,0.37,us,us2000axpk,2018-01-03T01:54:41.040Z,"1 km N of Fairhaven, Massachusetts",earthquake,1.5,7.2,0.097,14,reviewed,us,us
2017-09-06T00:10:16.170Z,42.5869,-72.2372,5,1.7,ml,,67,0.078,0.78,us,us2000agge,2017-12-07T20:00:15.040Z,"1 km SW of Athol, Massachusetts",earthquake,1.1,1.9,0.077,22,reviewed,us,us
2017-02-02T06:31:32.450Z,41.6726,-72.3726,7.78,1.6,ml,,98,0.164,0.33,us,us20008hay,2017-04-27T01:38:42.040Z,"1 km NNW of Hebron, Connecticut",earthquake,1.5,3,0.085,18,reviewed,us,us
